database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Paste, Indian style curry, commercial",12.87,0.048,0.374,0.001,0.001,0.028,0.001,0,0.54,0.1,0,0.051,1.36,0.72,0.009,0.06,0.48,34.34,6.02
"Paste, green curry, commercial",4.61,0.024,0.703,0,0.001,0.024,0.001,0,0,0.06,0,0.051,0.33,0.27,0.009,0.06,0.5,18.07,1.95
"Paste, soybean",7.66,0.129,0.48,0.001,0.004,0.016,0.002,0.001,0.09,0,0,0,0.69,1.8,0.011,0.017,0.79,38,3.8
"Paste, shrimp",3.94,0.21,0.44,0,0.001,0.059,0.003,0.008,4.37,0,0,0.015,13.8,5.96,0.02,0.205,0.39,60,3.93
"Sauce, barbecue, commercial",7.25,0.008,0.556,0,0,0.001,0,0,0.07,0,0,0.003,0.12,0.12,0,0.004,0.09,7.1,1.3
"Sauce, butter chicken, commercial",4.12,0.013,0.793,0,0.001,0.015,0,0,0.19,0,0,0.02,0.21,0.13,0.003,0.008,0.18,4.62,1.44
"Sauce, cranberry, commercial",6.49,0,0.584,0,0,0.001,0,0,0,0.01,0,0.009,0.03,0.04,0,0.004,0.02,0.5,0.5
"Sauce, fish, commercial",2.13,0.068,0.654,0,0.001,0.032,0.004,0,0.07,0,0,0,0.3,0.12,0.007,0.016,1.18,82.55,2.15
"Sauce, hoi sin (hoisin), commercial",9.22,0.016,0.408,0,0.003,0.011,0.001,0,0.05,0.01,0,0,0.41,0.34,0.006,0.047,0.14,15.5,0.51
"Sauce, oyster, commercial",4.71,0.028,0.635,0,0.001,0.011,0,0,0.4,0,0,0,0.4,0.07,0.009,0.039,0.24,37.9,2.1
"Sauce, pasta or simmer, commercial, low fat",2.4,0.008,0.855,0.005,0.001,0.011,0.016,0,0.04,0,0,0.017,0.09,0.2,0.002,0.008,0.1,2.81,0.89
"Sauce, pasta, basil pesto, commercial",15.98,0.053,0.461,0.001,0.001,0.043,0.003,0.004,0.51,0,0,0.054,1.47,0.2,0.011,0.014,0.32,12.51,2.32
"Sauce, pasta, bolognese, homemade using beef mince & commercial tomato based sauce",4.71,0.1,0.761,0,0,0.039,0,0.005,0.22,0,0.01,0.004,0.16,0.99,0.022,0.013,0.19,1.8,3.1
"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",3.88,0.088,0.802,0,0.001,0.03,0,0.003,0.92,0,0.009,0.008,0.16,0.87,0.018,0.014,0.2,0.56,4.5
"Sauce, pasta, cheese or cream-based, commercial",3.63,0.014,0.826,0.003,0.001,0.003,0,0.001,0.07,0,0,0.007,0.32,0.21,0.001,0,0.05,4.82,0.94
"Sauce, pasta, tomato-based, commercial, heated",2.26,0.016,0.847,0,0,0.009,0.001,0,0.51,0.01,0,0.018,0.27,0.33,0.002,0.007,0.15,3.75,3.37
"Sauce, plum, commercial",9.58,0.001,0.399,0,0.001,0,0.001,0,0.06,0.02,0,0,0.15,0.05,0.009,0.025,0.24,9.5,0.32
"Sauce, rogan josh, commercial",2.95,0.015,0.785,0.001,0.001,0.011,0.001,0,0.1,0,0,0.009,0.28,0.19,0.003,0.011,0.2,5.08,3.29
"Sauce, salsa, tomato-based, commercial",1.46,0.013,0.895,0.001,0,0.008,0.001,0,0.3,0.08,0,0.01,0.36,0.26,0.002,0.006,0.15,4.8,2.7
"Sauce, simmer for chicken, commercial",3.83,0.008,0.816,0.028,0.001,0.014,0.003,0,0,0,0,0.008,0.09,0.15,0.002,0.006,0.14,2.12,0.54
"Sauce, simmer, curry flavoured, commercial",4.94,0.021,0.773,0.009,0.001,0.012,0.001,0,0.32,0,0,0.009,0.31,0.42,0.003,0.011,0.21,5.1,1.8
"Sauce, soy, commercial",2.09,0.068,0.715,0.002,0.001,0.002,0,0,0,0,0,0,0.21,1.42,0.005,0.013,0.5,56,2.99
"Sauce, soy, commercial, reduced salt",1.62,0.054,0.801,0,0.002,0.016,0.001,0,0,0,0,0,0.17,0.89,0.003,0.022,0.32,35.98,1.8
"Sauce, tabasco, commercial",0.57,0.013,0.952,0,0.001,0.005,0.002,0,1.64,0.04,0,0,0.12,0.23,0.002,0.012,0.12,6.33,1.28
"Sauce, tomato, commercial",4.37,0.013,0.697,0,0,0.001,0,0,0.4,0,0,0.01,0.13,0.27,0.002,0.007,0.14,8.7,2.92
"Sauce, tomato, commercial, reduced salt",4.37,0.013,0.702,0,0,0.001,0,0,0.4,0,0,0.01,0.12,0.27,0.001,0.006,0.14,5.29,2.7
"Sauce, white, savoury, homemade",7.48,0.039,0.714,0,0.002,0.012,0,0.003,1.05,0,0.002,0.003,0.99,0.92,0.004,0.001,0.12,1.3,1.45
"Sauce, Worcestershire, commercial",3.11,0.013,0.733,0,0.001,0.006,0.006,0.001,0.01,0,0,0.001,1.6,0.23,0.004,0.037,0.83,10.6,8.9
Vinegar (except balsamic vinegar),0.65,0,0.955,0,0,0,0,0,0,0,0,0,0.01,0.05,0,0,0.01,0.05,0.06
"Peanut butter, smooth & crunchy, added sugar & salt",24.95,0.222,0.015,0.001,0.001,0.193,0.001,0,0,0.06,0,0.085,0.54,3.58,0.028,0.017,1.9,4.77,6.2
"Peanut butter, smooth & crunchy, no added sugar or salt",26.28,0.243,0.015,0.001,0.001,0.161,0.001,0,0,0.06,0,0.085,0.54,3.58,0.028,0.017,1.77,0.12,6.32
"Spread, yeast, marmite",6.24,0.133,0.409,0.11,0.084,0.525,0.006,0.1,0,0,0,0,0.25,5,0.018,0.463,0.71,34,19.5
"Spread, yeast, vegemite",6.83,0.244,0.409,0.228,0.171,1.285,0.001,0,0,0,0,0,0.68,8.8,0.043,0.04,1.3,30,21.22
"Cheese, blue vein",15.82,0.209,0.414,0,0.004,0.058,0.001,0.013,3.37,0,0.001,0.008,5.1,3.2,0.03,0.002,0.24,10.9,0.88
"Cheese, bocconcini",10.32,0.166,0.619,0,0.002,0.032,0,0.016,1.44,0,0.001,0.009,3.2,2.3,0.022,0,0.1,2.1,0.13
"Cheese, brie",15.08,0.186,0.463,0,0.004,0.044,0.001,0.013,3.56,0,0.001,0.008,4.6,3.5,0.025,0.001,0.2,5.8,1
"Cheese, camembert",12.23,0.186,0.535,0,0.004,0.044,0.001,0.011,5.26,0,0.001,0.008,4.9,3.7,0.027,0,0.19,5.7,0.98
"Cheese, cheddar, natural, regular fat",16.89,0.246,0.341,0,0.003,0.055,0,0.017,2.01,0.01,0.001,0.006,7.6,4.78,0.035,0.001,0.27,6.86,0.73
"Cheese, cheddar, natural, reduced fat (approximately 25%)",13.56,0.279,0.417,0,0.004,0.043,0,0.019,1.73,0,0.001,0.004,8,5.7,0.039,0,0.32,5.5,1.1
"Cheese, cheddar, natural, reduced fat (approximately 15%)",11.66,0.344,0.471,0.001,0.004,0.053,0,0.019,1.48,0,0.001,0.004,9.95,5.9,0.04,0.002,0.35,5.6,1.1
"Cheese, cheddar, processed, regular fat",12.54,0.182,0.484,0.001,0.003,0.035,0,0.01,3.58,0,0.001,0.006,5.88,4.36,0.029,0.002,0.26,14.2,1.25
"Cheese, cheddar, processed, reduced fat (approximately 15%), added vitamin D",10.54,0.224,0.525,0,0.005,0.047,0.001,0.018,1.26,0.02,0.031,0.004,8.86,3.82,0.028,0.003,0.23,11.71,1.7
"Cheese, cottage",5.56,0.17,0.754,0,0.003,0.045,0,0.005,0.38,0,0.001,0,0.89,1.43,0.002,0.001,0.08,2.77,1.23
"Cheese, cream, plain",14.2,0.085,0.533,0,0.001,0.015,0,0.001,4.17,0,0.001,0.011,0.69,1.1,0.006,0,0.06,3.2,0.8
"Cheese, edam",15,0.274,0.399,0,0.004,0.065,0,0.019,2.19,0,0.001,0.004,8.1,5.75,0.042,0.003,0.36,9,0.85
"Cheese, fetta (feta)",11.36,0.166,0.548,0,0.003,0.041,0,0.009,1,0,0.001,0.006,3.15,2.6,0.016,0.003,0.15,11,0.74
"Cheese, goat, firm",15.02,0.186,0.449,0,0.002,0.028,0,0,2.8,0,0.001,0.004,3.34,3.36,0.013,0.001,0.26,5.38,1.16
"Cheese, goat, soft",11.94,0.212,0.512,0,0.002,0.031,0,0,1.93,0,0.001,0.004,0.63,1.97,0.003,0,0.11,4.3,1.27
"Cheese, haloumi",10.5,0.213,0.511,0.001,0.004,0.052,0.001,0.005,2.1,0,0.001,0.006,6.2,5.1,0.03,0.002,0.18,29,0.77
"Cheese, mozzarella",12.13,0.222,0.475,0,0.002,0.048,0,0.01,1.46,0,0.001,0.021,6.85,5.15,0.031,0.001,0.28,5.22,0.79
"Cheese, parmesan, dried, finely grated",19.49,0.406,0.169,0.001,0.005,0.097,0,0.019,2.85,0,0.001,0.004,9.7,7,0.065,0.005,0.42,13,0.8
"Cheese, parmesan, fresh, regular fat",15.65,0.32,0.336,0,0.005,0.052,0,0.018,2.28,0,0.001,0.011,9.48,6.48,0.037,0.002,0.41,10,0.78
"Cheese, ricotta",6.65,0.104,0.761,0,0.001,0.031,0,0.002,1.12,0,0.001,0.007,1.7,1.2,0.007,0,0.1,1.7,0.91
"Cheese, soy",9.96,0.038,0.679,0,0.001,0.012,0.001,0,0.04,0,0,0.006,0.3,2.22,0.017,0.024,2.28,4.07,1.99
"Cream, thickened, regular fat (approximately 35%)",14.09,0.02,0.579,0,0.001,0.004,0,0.002,2.8,0,0,0.011,0.6,0.58,0.002,0,0.06,0.27,0.84
"Cream, imitation (non-dairy)",11.08,0.01,0.588,0,0,0,0,0,0,0,0,0,0.17,0.2,0.001,0,0.02,0.57,0.24
"Cream, sour, regular fat",14.14,0.019,0.6,0,0.001,0.003,0,0.001,3.43,0,0,0.011,0.5,0.48,0.002,0,0.05,0.19,0.74
"Cream, sour, light (approximately 18% fat)",8.68,0.036,0.701,0,0.001,0.005,0,0.001,1.92,0,0,0.006,0.8,0.73,0.002,0,0.05,0.19,0.74
"Ice cream, vanilla flavour, regular fat",7.88,0.037,0.614,0,0.003,0.019,0,0,1.82,0,0,0,0.93,0.84,0.002,0.001,0.12,0.48,1.42
"Ice cream, vanilla flavour, premium or rich (~15% fat)",9.16,0.032,0.588,0,0.002,0.007,0,0.004,1.71,0,0,0.003,1.1,0.95,0.003,0,0.1,0.37,1.5
"Ice confection, stick, milk-based, various flavours",5.63,0.029,0.688,0,0.002,0.007,0,0,0.46,0,0,0.003,0.88,0.82,0.003,0.001,0.14,0.4,1.5
"Ice confection, stick, water-based, various flavours",2.8,0.002,0.802,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0.001,0,0.06,0.03
"Ice confection, stick or tub, fruit juice or fruit flavoured",3.06,0.002,0.781,0,0,0,0,0,0.01,0.02,0,0.001,0.03,0.02,0,0.002,0.03,0.06,0.33
"Milk, cow, fluid, regular fat (3.5% fat)",2.71,0.033,0.88,0,0.002,0.008,0,0.004,0.44,0,0.001,0.001,1.06,0.87,0.003,0,0.1,0.35,1.42
"Milk, cow, fluid, regular fat (3.5% fat), added omega 3 polyunsaturates",2.53,0.031,0.892,0,0.002,0.007,0.001,0.006,0.49,0,0.001,0.001,1.1,0.88,0.001,0.004,0.1,0.4,2
"Milk, cow, fluid, reduced fat (1% fat)",1.81,0.033,0.897,0,0.002,0.018,0,0.002,0.14,0,0.001,0,1.15,0.92,0.004,0,0.11,0.36,1.56
"Milk, cow, fluid, reduced fat (1.5% fat), added omega 3 polyunsaturates",2.13,0.045,0.884,0,0.002,0.01,0,0.006,0.11,0,0.001,0.001,1.1,0.94,0.001,0.004,0.11,0.4,2
"Milk, cow, fluid, skim (0.15% fat)",1.46,0.036,0.894,0,0.002,0.009,0,0.008,0,0,0.001,0,1.15,0.96,0.004,0,0.11,0.38,1.6
"Milk, cow, fluid, skim (0.15% fat), added milk solids",1.73,0.042,0.876,0,0.002,0.01,0,0.008,0,0,0.001,0,1.35,1.14,0.005,0,0.13,0.46,1.93
"Milk, cow, fluid, lactose free, regular fat (3.5% fat)",2.49,0.031,0.888,0.001,0.002,0.006,0,0.004,0.52,0,0.001,0,1.1,0.83,0.004,0,0.1,0.35,1.5
"Milk, cow, fluid, lactose free, reduced fat (1% fat)",1.84,0.034,0.898,0.001,0.002,0.007,0,0.004,0.21,0,0.001,0,1.17,0.83,0.004,0,0.1,0.41,1.5
"Milk, cow, fluid, flavoured, chocolate, reduced fat",2.64,0.033,0.852,0,0.002,0.009,0,0.002,0.23,0,0.001,0,1.12,0.95,0.004,0.002,0.14,0.46,1.69
"Milk, cow, canned, evaporated, regular",5.88,0.075,0.72,0.001,0.005,0.018,0,0.002,0.82,0.01,0.001,0,2.56,2.48,0.008,0.002,0.24,1.04,3.4
"Milk, cow, canned, evaporated, reduced fat (approximately 2% fat)",3.8,0.078,0.779,0.001,0.006,0.018,0,0.002,0.17,0,0.001,0,2.66,2.44,0.009,0.003,0.25,1.04,3.48
"Milk, cow, canned, sweetened, condensed, regular",13.62,0.083,0.257,0.001,0.006,0.021,0,0.004,0.78,0.01,0.001,0.002,2.68,2.55,0.009,0.002,0.25,1.06,3.57
"Milk, cow, powder, regular fat, unfortified",21.28,0.253,0.033,0.002,0.016,0.054,0.002,0.007,3.7,0.41,0.006,0.009,8.5,8.1,0.023,0,0.8,3.1,13
"Milk, cow, powder, regular fat, added vitamins A & D",21.28,0.253,0.033,0.002,0.016,0.054,0.002,0.007,4.67,0.41,0.053,0.009,8.5,8.1,0.023,0,0.8,3.1,13
"Milk, cow, powder, skim",15.19,0.349,0.043,0.002,0.017,0.074,0.002,0.016,0.07,0.13,0.006,0,11,10,0.033,0,1.1,4.2,18
"Milk, human/breast, mature, fluid",2.86,0.013,0.875,0,0,0.005,0,0,0.61,0.05,0.001,0.001,0.32,0.14,0.002,0,0.03,0.17,0.51
"Custard, vanilla, regular fat",3.92,0.033,0.778,0.001,0.002,0.006,0,0.002,0.08,0,0.001,0,1.2,1.2,0.004,0.001,0.11,0.61,1.65
"Custard powder, vanilla, dry mix",14.14,0.005,0.136,0,0,0.005,0,0,0,0,0,0.005,0.08,0.41,0.001,0.007,0.05,3.92,0.16
"Custard, vanilla, prepared from dry mix",4.3,0.036,0.786,0,0.002,0.009,0,0.002,0.48,0,0.001,0.001,1.15,0.97,0.004,0.001,0.11,0.59,1.55
"Dairy or yoghurt dessert, chocolate, regular fat",5.33,0.051,0.728,0,0.002,0.011,0,0,0.08,0,0,0.001,1.2,1.2,0.005,0.005,0.16,0.59,2.3
"Yoghurt, flavoured, high fat (approx 5%)",4.83,0.044,0.742,0,0.002,0.01,0.001,0.002,0.73,0,0,0.002,1.5,1.4,0.004,0,0.13,0.47,1.9
"Yoghurt, natural, regular fat (3% fat)",3.06,0.051,0.814,0,0.002,0.011,0,0.005,0.5,0,0,0,1.75,1.5,0.006,0,0.16,0.58,2.3
"Yoghurt, apricot pieces or flavoured, regular fat (3% fat)",3.86,0.042,0.774,0.001,0.002,0.009,0,0.004,0.37,0,0,0,1.1,1.1,0.005,0.002,0.14,0.65,2.2
"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",4.05,0.049,0.773,0.001,0.003,0.013,0,0.004,0.3,0,0,0,1.59,1.25,0.005,0.001,0.15,0.6,2.13
"Yoghurt, vanilla flavoured, (2% fat)",4.08,0.05,0.764,0.001,0.002,0.01,0,0.004,0.38,0,0,0,1.7,1.3,0.006,0,0.15,0.52,2.3
"Yoghurt, flavoured, low fat (approx 2%)",3.41,0.046,0.775,0,0.002,0.009,0,0.002,0.22,0,0,0,1.6,1.2,0.004,0,0.14,0.6,2.1
"Yoghurt, flavoured, low fat (0.2%), intense sweetened, increased protein",2.27,0.096,0.844,0,0.002,0.02,0,0.003,0,0,0,0,1.1,1.3,0.004,0,0.1,0.35,1.4
"Yoghurt, vanilla flavoured, low fat (less than 0.5% fat)",3.68,0.059,0.79,0,0.004,0.018,0,0.004,0,0,0,0,1.68,1.46,0.007,0.001,0.17,0.66,2.42
"Almond beverage, no added sugar, unfortified",0.65,0.005,0.975,0,0,0.001,0,0,0,0,0,0.005,0.07,0.14,0.001,0,0.06,0.4,0.19
"Almond beverage, no added sugar, added Ca",0.65,0.005,0.975,0,0,0.001,0,0,0,0,0,0.005,0.66,0.16,0.001,0,0.08,0.43,0.19
"Almond beverage, added sugar, unfortified",1.15,0.005,0.945,0,0,0.001,0,0,0,0,0,0.005,0.03,0.11,0.001,0,0.05,0.53,0.31
"Almond beverage, added sugar & Ca",1.15,0.005,0.945,0,0,0.001,0,0,0,0,0,0.005,0.68,0.4,0,0,0.04,0.43,0.16
"Almond beverage, added sugar & vitamins B1, B2 & B12 & Ca",1.15,0.005,0.945,0,0.003,0.001,0,0.004,0,0,0,0.005,1.2,0.74,0.001,0,0.08,0.33,0.19
"Coconut beverage, unfortified",1.06,0.002,0.977,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.04,0.47,0.3
"Coconut beverage, added Ca",1.06,0.002,0.977,0,0,0,0,0,0,0,0,0,0.9,0.5,0,0,0.04,0.17,0.25
"Oat beverage, fluid, unfortified",2.24,0.013,0.866,0.001,0,0.003,0,0,0,0,0,0,0.18,0.26,0.001,0,0.06,0.38,0.47
"Oat beverage, fluid, added calcium",2.24,0.013,0.866,0.001,0,0.003,0,0,0,0,0,0,1.1,0.83,0.001,0,0.06,0.38,0.47
"Rice beverage, fluid, added calcium",2.55,0.003,0.873,0,0,0.001,0,0,0,0,0,0.003,0.7,0.18,0.001,0.002,0.1,0.62,0.22
"Soy beverage, regular fat (3% fat), unfortified",2.46,0.037,0.873,0,0,0.007,0,0,0.07,0,0,0.011,0.13,0.69,0.002,0.005,0.21,0.44,1.91
"Soy beverage, regular fat (3% fat), added Ca",2.46,0.037,0.873,0,0,0.007,0,0,0.07,0,0,0.011,1.15,0.69,0.002,0.005,0.21,0.44,1.91
"Soy beverage, regular fat (3% fat), added Ca & vitamins A, B1, B2 & B12",2.57,0.044,0.873,0,0.004,0.009,0,0.009,0.8,0,0,0.011,1.15,0.69,0.002,0.005,0.21,0.44,1.91
"Soy beverage, reduced fat (1% fat), added Ca & vitamins A, B1, B2 & B12",1.87,0.03,0.882,0,0.004,0.006,0,0.009,0.8,0,0,0.011,1.15,0.71,0.001,0.005,0.13,0.45,1.89
"Meat alternative, legume and/or vegetable base, as purchased",7.55,0.075,0.572,0.003,0.001,0.027,0.001,0,1.08,0,0,0.014,0.49,1.2,0.009,0.018,0.48,3.6,3.4
"Meat alternative, legume and/or vegetable base, cooked",9.32,0.092,0.472,0.002,0,0.034,0,0,1.07,0,0,0.014,0.51,1.26,0.009,0.018,0.44,3.11,2.94
"Meat alternative, mycoprotein/fungus base, commercial, as purchased",4.78,0.138,0.742,0,0.002,0.029,0.001,0,0,0,0,0,2,2.1,0.058,0.004,0.42,1.7,1.2
"Meat alternative, mycoprotein/fungus base, cooked",6.55,0.188,0.646,0,0.003,0.04,0.001,0,0,0,0,0,2.74,2.88,0.079,0.006,0.58,2.33,1.64
"Meat alternative, protein (soy/wheat/pea) base, as purchased",9.44,0.194,0.564,0.001,0,0.027,0.001,0,0.03,0,0,0.019,0.74,1.9,0.014,0.04,0.45,5.2,3.2
"Meat alternative, protein (soy/wheat/pea) base, cooked",11.65,0.239,0.462,0.001,0,0.034,0.001,0,0.04,0,0,0.019,0.91,2.34,0.017,0.049,0.56,6.42,3.95
"Sausage, vegetarian style, unfortified, raw",8.07,0.19,0.605,0.006,0.002,0.062,0.004,0,0.74,0.05,0,0.01,0.34,0.81,0.007,0.025,0.23,6,1.5
"Sausage, vegetarian style, added Fe, Zn and vitamin B12, raw",8.07,0.19,0.605,0.006,0.002,0.062,0.004,0.02,0.74,0.05,0,0.01,0.34,0.81,0.044,0.035,0.23,6,1.5
"Tofu (soy bean curd), firm, as purchased",5.43,0.128,0.745,0.001,0,0.028,0.001,0,0,0,0,0.004,2.06,2.05,0.015,0.024,0.99,0.22,1.5
"Sausage, vegetarian style, fried, no added fat",8.49,0.2,0.584,0.006,0.002,0.065,0.004,0.015,0.78,0.05,0,0.008,0.36,0.85,0.035,0.034,0.24,6.32,1.58
"Yoghurt, almond based, flavoured",3.84,0.026,0.813,0,0.001,0.003,0,0,0,0,0,0.021,0.34,0.52,0.003,0.004,0.3,0.05,0.82
"Yoghurt, coconut based, flavoured",5.19,0.011,0.778,0,0,0.001,0,0,0.01,0,0,0,0.03,0.24,0.002,0.003,0.16,0.18,1.4
"Yoghurt, soy based, berry flavoured, regular fat (3% fat)",4.16,0.036,0.796,0,0,0.008,0,0,0,0,0,0.001,1.2,1.3,0.002,0.006,0.07,0.55,0.55
"Yoghurt, soy based, vanilla flavoured, reduced fat (1% fat)",3.09,0.036,0.807,0,0,0.008,0,0,0,0,0,0.001,1.2,1.3,0.002,0.006,0.07,0.55,0.55
"Butter, plain, salted",30.36,0.011,0.154,0,0.001,0.013,0,0,8.58,0,0.012,0.02,0.17,0.16,0.001,0,0.02,7.76,0.23
"Butter, plain, no added salt",30.36,0.011,0.154,0,0.001,0.013,0,0,8.58,0,0.012,0.02,0.17,0.16,0.001,0,0.02,0.1,0.23
"Ghee, clarified butter",37.01,0.003,0,0,0,0.001,0,0,9.4,0,0.012,0.02,0.04,0.03,0,0,0,0.02,0.05
"Dairy blend, butter & edible oil spread (approximately 80% fat), sodium 600 mg/100 g",29.15,0.005,0.166,0,0,0.001,0,0,14.37,0,0.058,0.069,0.17,0.18,0,0,0.02,6.11,0.27
"Dairy blend, butter & edible oil spread (approximately 80% fat), reduced salt (sodium 400 mg/100 g)",29.15,0.005,0.166,0,0,0.001,0,0,6.57,0,0.058,0.069,0.12,0.16,0,0,0.01,4.1,0.2
"Margarine spread, polyunsaturated (70% fat)",25.52,0,0.3,0,0,0,0,0,7.15,0,0.074,0.347,0.07,0.08,0,0,0.01,5.62,0.24
"Margarine spread, polyunsaturated (70% fat), reduced salt (sodium 280 mg/100 g)",26.36,0.01,0.274,0,0,0,0,0,8.48,0,0.074,0.082,0.03,0.04,0,0,0.01,2.83,0.18
"Margarine spread, monounsaturated (70% fat), reduced salt (sodium 350 mg/100 g), added phytosterols",28.2,0.007,0.225,0,0,0,0,0,8.48,0,0.074,0.031,0.03,0.04,0,0,0.01,3.56,0.18
"Margarine spread, monounsaturated (greater than 65% fat)",25,0.005,0.305,0,0,0,0,0,6.76,0,0.074,0.161,0.07,0.08,0,0,0.01,3.58,0.2
"Margarine spread, monounsaturated (greater than 65% fat), reduced salt (sodium 360 mg/100 g)",25.65,0.01,0.274,0,0,0,0,0,8.48,0,0.058,0.033,0.03,0.04,0,0,0.01,3.62,0.18
"Margarine spread, monounsaturated, reduced fat (55% fat) & salt (sodium 380 mg/100 g)",19.22,0.01,0.447,0,0,0,0,0,8.48,0,0.074,0.044,0.03,0.04,0,0,0.01,3.38,0.18
"Margarine spread, monounsaturated, reduced fat (less than 65% fat)",23.42,0.005,0.332,0,0,0,0,0,8.48,0,0.074,0.033,0.03,0.04,0,0,0.01,4.42,0.64
"Margarine spread, monounsaturated, olive oil blend (65% fat), reduced salt (sodium 360 mg/100 g)",23.76,0.01,0.33,0,0,0,0,0,8.48,0,0,0.033,0.03,0.04,0,0,0.01,3.5,0.32
"Margarine spread, monounsaturated (65% fat), rice bran oil, fortified",24.25,0.003,0.328,0,0,0,0,0,8.39,0,0.075,0.161,0.07,0.08,0,0,0.01,3.1,0.2
"Oil, almond",37,0,0,0,0,0,0,0,0,0,0,0.266,0,0,0,0,0,0,0
"Oil, blend of monounsaturated vegetable oils",37,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0
"Oil, blend of polyunsaturated vegetable oils",37,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0
"Oil, canola",37,0,0,0,0,0,0,0,0,0,0,0.262,0.01,0,0,0,0,0,0
"Oil, cottonseed",37,0,0,0,0,0,0,0,0,0,0,0.353,0,0,0,0,0,0,0
"Oil, copha",37,0.002,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01
"Oil, grapeseed",37,0,0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0
"Oil, linseed or flaxseed",36.99,0,0.001,0,0,0,0,0,0,0,0,0.036,0.01,0.01,0.001,0,0,0,0
"Oil, mustard seed",37,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0
"Oil, macadamia",37,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0
"Oil, olive",36.95,0,0,0,0,0,0,0,0.02,0,0,0.217,0,0.01,0,0,0,0,0
"Oil, palm",37,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0,0,0,0,0
"Oil, peanut",37,0,0,0,0,0,0,0,0,0,0,0.138,0,0.03,0.001,0.001,0.01,0,0
"Oil, rice bran",37,0,0,0,0,0,0,0,0,0,0,0.323,0,0,0,0,0,0,0
"Oil, soybean",37,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0
"Oil, sunflower",37,0,0,0,0,0,0,0,0,0,0,0.561,0,0,0,0,0,0,0
"Oil, vegetable",37,0,0,0,0,0,0,0,0,0,0,0.166,0,0,0,0,0,0,0
"Dripping, beef",37.03,0.002,0,0,0,0,0,0,0.04,0,0,0.009,0,0,0,0,0,0,0
"Fat, solid, vegetable oil based",37.02,0.002,0,0,0,0.004,0,0,0,0,0,0.07,0,0,0,0,0,0,0
"Egg, chicken, whole, raw",5.33,0.126,0.761,0.001,0.004,0.027,0,0.014,1.3,0,0.059,0.017,0.47,1.8,0.011,0.019,0.12,1.5,1.4
"Egg, chicken, whole, hard-boiled",5.74,0.124,0.75,0.001,0.004,0.027,0,0.014,0.39,0,0.059,0.09,0.39,1.31,0.012,0.016,0.1,1.27,1.07
"Egg, chicken, whole, poached",5.55,0.131,0.751,0.001,0.004,0.028,0,0.012,1.36,0,0.055,0.016,0.49,1.88,0.012,0.02,0.12,1.56,1.46
"Egg, chicken, whole, fried, no fat added",6.06,0.143,0.728,0.001,0.005,0.031,0,0.014,1.48,0,0.06,0.018,0.53,2.04,0.013,0.022,0.14,1.7,1.59
"Egg, chicken, whole, omega-3 polyunsaturate enriched, raw",5.57,0.124,0.755,0.001,0.005,0.034,0,0.005,0.6,0,0.059,0.14,0.45,1.8,0.012,0.016,0.12,1.2,1.2
"Egg, chicken, whole, omega-3 polyunsaturate enriched, boiled",5.68,0.127,0.75,0.001,0.005,0.035,0,0.004,0.61,0,0.054,0.129,0.46,1.84,0.012,0.016,0.12,1.22,1.22
"Egg, chicken, whole, scrambled, with regular fat cows milk, no fat added",5.04,0.108,0.774,0.001,0.004,0.024,0,0.01,1.15,0,0.041,0.012,0.73,1.68,0.01,0.015,0.13,1.28,1.58
"Egg, chicken, white (albumen), raw",1.96,0.112,0.872,0,0.004,0.032,0,0,0,0,0,0,0.05,0.1,0,0.002,0.11,1.75,1.19
"Egg, chicken, white (albumen), hard-boiled",2.04,0.116,0.87,0,0.003,0.033,0,0.001,0,0,0,0,0.06,0.11,0,0.002,0.11,1.75,1.12
"Egg, chicken, yolk, raw",13.11,0.156,0.532,0.002,0.004,0.04,0.002,0.04,4.49,0,0.17,0.08,1,3.98,0.025,0.04,0.08,0.58,1.04
"Egg, chicken, yolk, hard-boiled",14.5,0.161,0.49,0.002,0.004,0.041,0.003,0.038,4.31,0,0.17,0.082,1.15,4.02,0.027,0.048,0.07,0.47,0.97
"Apple, bonza, unpeeled, raw",2.44,0.003,0.853,0,0,0,0,0,0,0.02,0,0.003,0.06,0.08,0.001,0.002,0.05,0,0.88
"Apple, dried",10.78,0.012,0.209,0,0,0.002,0.001,0,0.13,0,0,0.006,0.22,0.49,0.001,0.007,0.24,2.6,6.4
