database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Alcoholic beverage, spirit, approximately 30% v/v, all (Brandy, Gin, Rum, Vodka and Whisky), cooked",3.02,0,0.864,0,0,0,0,0,0,0,0,0,0.01,0,0.001,0.001,0.01,0.02,0.01
"Cider, apple (alcohol approximately 4-5% v/v)",2.09,0,0.892,0,0,0,0,0,0,0.02,0,0,0.03,0.12,0,0,0.02,0.03,0.56
"Wine, red, cabernet sauvignon",3.32,0.003,0.861,0,0,0,0,0,0,0,0,0,0.07,0.35,0.001,0.002,0.13,0.04,1.17
"Wine, red, merlot",3.3,0.003,0.863,0,0,0,0,0,0,0,0,0,0.07,0.26,0.001,0.002,0.12,0.05,0.91
"Wine, red, pinot noir",3.21,0.002,0.869,0,0,0,0,0,0,0,0,0,0.07,0.32,0.001,0.002,0.16,0.02,0.91
"Wine, red, shiraz",3.42,0.002,0.855,0,0,0,0,0,0,0,0,0,0.06,0.32,0.001,0.002,0.15,0.07,1.15
"Wine, red",3.35,0.002,0.859,0,0,0,0,0,0,0,0,0,0.07,0.32,0.001,0.002,0.14,0.05,1.11
"Wine, red, cooked",1.2,0.003,0.932,0,0,0,0,0,0,0,0,0,0.08,0.34,0.001,0,0.15,0.05,1.13
"Wine, red, sparkling",3.38,0.002,0.855,0,0,0,0,0,0,0,0,0,0.06,0.33,0.001,0.002,0.15,0.07,1.17
"Wine, rose",2.89,0.002,0.882,0,0,0,0,0,0,0,0,0,0.08,0.27,0.001,0.001,0.11,0.05,0.51
"Wine, white, sauvignon blanc",2.96,0.002,0.883,0,0,0,0,0,0,0,0,0,0.08,0.18,0.001,0.001,0.08,0.02,0.56
"Wine, white, semillon",2.7,0.002,0.892,0,0,0,0,0,0,0.06,0,0,0.09,0.25,0.001,0.002,0.08,0.06,0.57
"Wine, white, chardonnay",3.1,0.003,0.877,0,0,0,0,0,0,0,0,0,0.07,0.25,0.001,0.002,0.11,0.04,0.52
"Wine, white, riesling",2.92,0.002,0.885,0,0,0,0,0,0,0,0,0,0.1,0.22,0.001,0.001,0.2,0.07,0.44
"Wine, white",3.01,0.003,0.881,0,0,0,0,0,0,0.01,0,0,0.08,0.23,0.001,0.002,0.1,0.04,0.53
"Wine, white, cooked",1.07,0.002,0.946,0,0,0,0.001,0,0,0.02,0,0,0.09,0.25,0.001,0.002,0.12,0.05,0.56
"Wine, white, sparkling",3.06,0.002,0.883,0,0,0,0,0,0,0,0,0,0.07,0.2,0.001,0.002,0.09,0.02,0.35
"Wine, white, sweet dessert style",4.97,0.004,0.712,0,0,0,0,0,0,0,0,0,0.15,0.48,0.001,0.002,0.19,0.13,1.01
"Wine, fortified, port",6,0.002,0.709,0,0,0,0.001,0,0,0,0,0,0.05,0.18,0.001,0.002,0.1,0.15,0.82
"Wine, fortified, sherry, dry style (approximately 1% sugars)",4.35,0.001,0.83,0,0,0,0.001,0,0,0,0,0,0.05,0.12,0.001,0.001,0.06,0.19,0.39
"Wine, fortified, sherry, sweet style (approximately 11% sugars)",5.77,0.002,0.73,0,0,0,0.001,0,0,0,0,0,0.04,0.13,0.001,0.001,0.06,0.18,0.53
